PO no.,PI no.,Order Date,Receiving CKD Date,Finishing Date,Shipping Date,LEAD TIME TO FINISH,LEAD TIME TO SHIP,LEAD TIME FROM CKD,Generator Serial no.,Canopy Size,"Freq
50? 60?",Voltage,Genset Size,"Engine
Type",Engine Model,Engine Serial no.,Alternator Type,Alternator Model,Alternator S/No.,Controller Model,Controller S/No.
P03661,9073,01/09/2025,09/08/2025,09/08/2025,09/09/2025,7,8,1,25370010,80-100,50,230/400,(100 / 110) kVA,PERKINS,1104C-44TAG2,RJ51175U758717L,LEROY SOMER,TAL044D,46084300014,DSE 4520 MKII,10719377
P03599,8811,26/08/2025,09/09/2025,09/11/2025,09/11/2025,16,16,3,25370011,350-500,60,220/380,(569 / 625) kVA,CUMMINS,QSZ13G3,93922615,LEROY SOMER,TAL-A473-C J 6S/4,824562005,DSE 6120 MKIII,10851718
P03610,9008,27/08/2025,09/09/2025,09/11/2025,09/11/2025,15,15,3,25370012,350-500,60,220/380,(500 / 550) kVA,CUMMINS,QSZ13G5,93922478,STAMFORD,,A09F193071,DSE 6120 MKIII,10851703
P03610,9008,27/08/2025,09/09/2025,09/11/2025,09/11/2025,15,15,3,25370013,350-500,60,220/380,(500 / 550) kVA,CUMMINS,QSZ13G5,93922475,STAMFORD,,A09F193072,DSE 6120 MKIII,10851451
P03617,8648,27/08/2025,09/10/2025,09/10/2025,09/11/2025,14,15,1,25370014,500 SS,50,230/400,(455 / 500) kVA,CUMMINS,QSZ13G5,93923008,STAMFORD,,A09D170018,DSE 8610 MKII,10930288
P03617,8648,27/08/2025,09/10/2025,09/10/2025,09/11/2025,14,15,1,25370015,500 SS,50,230/400,(455 / 500) kVA,CUMMINS,QSZ13G5,93922498,STAMFORD,,A09D170019,DSE 8610 MKII,10802993
P03650,9063,01/09/2025,09/08/2025,09/11/2025,09/11/2025,10,10,4,25370016,80-100,60,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277R061066L,LEROY SOMER,TAL044B,46141700012,DSE 4520 MKII,10891820
P03605,8974,27/08/2025,09/10/2025,09/11/2025,09/11/2025,15,15,2,25370017,180-200,60,220/380,(200 / 220) kVA,PERKINS,1106A-70TAG3,PR83659R047582L,AQT,,0213020/219,DSE 4520 MKII,10891911
P03605,8974,27/08/2025,09/10/2025,09/11/2025,09/11/2025,15,15,2,25370018,180-200,60,220/380,(200 / 220) kVA,PERKINS,1106A-70TAG3,PR83659R047583L,AQT,,0213021/219,DSE 4520 MKII,10891721
P03687,9113,03/09/2025,09/10/2025,09/11/2025,09/11/2025,8,8,2,25370019,300,60,220/380,(251 / 283) kVA,BAUDOUIN,6M16G4D0/S,4924H003608,LEROY SOMER,TAL046D,46141800005,DSE 6120 MKIII,10851258
P03649,9039,01/09/2025,,09/11/2025,09/11/2025,10,10,,25370020,45-60,60,220/380,(53.1 / 58.7) kVA,KUBOTA,V3800-T-E2CB,2SE1030,LEROY SOMER,TAL042F,40082400014,DSE 6120 MKIII,10851500
P03491,8762,19/08/2025,09/10/2025,09/11/2025,09/11/2025,23,23,2,25370021,300,60,220/380,(281 / 313) kVA,PERKINS,1506A-E88TAG3,LGDF1012N21844L,AQT,,0212975/313,DSE 6120 MKIII,10853884
P03662,9041,02/09/2025,,09/11/2025,09/11/2025,9,9,,25370022,20,60,127/220,(18 / 20) kVA,KUBOTA,D1703-E2-BG,7PX4276,LEROY SOMER,TAL040D,46149000109,DSE 4520 MKII,10891874
P03562,8914,25/08/2025,09/10/2025,09/11/2025,09/11/2025,17,17,2,25370023,135-150,60,230/400,(152 / 169) kVA,CUMMINS,6BTAA5.9G2,93474870,BRUSHLESS AC SYNCHRO. ALTERNATOR,,2506479374,DSE 6120 MKIII,10851628
P03667,08041 R2,02/09/2025,09/10/2025,09/11/2025,9/19/2025,9,17,2,25370024,20,50,230/400,(15 / 17) kVA,PERKINS,403A-15G2,GU51794R070903K,LEROY SOMER,TAL040D,46149000092,DSE 4520 MKII,10891965
P03635,7555,29/08/2025,09/10/2025,9/13/2025,9/13/2025,15,15,4,25370025,80-100,60,220/380,(114.4 / 126.5) kVA,PERKINS,1104C-44TAG2,RJ51175R061465L,AQT,A09C167921,0259703/127,DSE 4520 MKII,10891884
P03739,9203,08/09/2025,09/10/2025,9/19/2025,9/19/2025,11,11,10,25370026,20,60,220/380,(24 / 27) kVA,PERKINS,404A-22G1,GV83540U098279L,LEROY SOMER,TAL040F,46149200041,DSE 4520 MKII,10891868
P03739,9203,08/09/2025,09/10/2025,9/19/2025,9/19/2025,11,11,10,25370027,20,60,220/380,(24 / 27) kVA,PERKINS,404A-22G1,GV83540U098282L,LEROY SOMER,TAL040F,46149200112,DSE 4520 MKII,10892010
P03635,7555,29/08/2025,09/10/2025,9/13/2025,9/13/2025,15,15,4,25370028,135-150,60,220/380,(152 / 169) kVA,PERKINS,1106A-70TAG1,PP82576R045785L,AQT,A06I63545,0213502/169,DSE 4520 MKII,10891738
P03742,9404,08/09/2025,09/12/2025,9/13/2025,9/13/2025,5,5,2,25370029,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U634105L,AQT,A06I639219,02122312/075,DSE 4520 MKII,10583808
P03629,8405,29/08/2025,09/12/2025,9/13/2025,9/13/2025,15,15,2,25370030,20,60,220/380,(24 / 27) kVA,KUBOTA,V2203-E2-BG,7RC0572,AQT,A06I630007,02120316/027,DSE 4520 MKII,10817804
P03629,8405,29/08/2025,09/12/2025,9/13/2025,9/13/2025,15,15,2,25370031,20,60,220/380,(24 / 27) kVA,KUBOTA,V2203-E2-BG,7RC0365,AQT,A06I630007,02120317/027,DSE 4520 MKII,10891994
P03629,8405,29/08/2025,09/12/2025,9/13/2025,9/13/2025,15,15,2,25370032,20,60,220/380,(24 / 27) kVA,KUBOTA,V2203-E2-BG,7RC0536,AQT,A06I630007,02120319/027,DSE 4520 MKII,10891894
P03656,9004,01/09/2025,09/12/2025,9/13/2025,9/13/2025,12,12,2,25370033,350-500,60,230/400,(500 / 550) kVA,CUMMINS,QSZ13G5,93922480,STAMFORD,HCI544D1,N25G297571,DSE 7320 MKII,10897620
P03702,9086,04/09/2025,09/12/2025,9/13/2025,9/13/2025,9,9,2,25370034,230-250,60,127/220,(200 / 228) kVA,CUMMINS,6CTAA8.3G2,93472039,STAMFORD,UCI274G14,X24C115444,DSE 6120 MKIII,10851258
P03617,8648,27/08/2025,09/12/2025,9/16/2025,9/16/2025,20,20,5,25380001,250 SS,50,230/400,(180 / 200) kVA,CUMMINS,QSB7G5,95516666,STAMFORD,UCI274G14,X24C115445,DSE 8610 MKII,10802988
P03617,8648,27/08/2025,09/12/2025,9/16/2025,9/16/2025,20,20,5,25380002,250 SS,50,230/400,(180 / 200) kVA,CUMMINS,QSB7G5,95517631,STAMFORD,UCI274G14,X24C115447,DSE 8610 MKII,10802998
P03636,8929,29/08/2025,9/13/2025,9/16/2025,9/16/2025,18,18,4,25380003,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637542L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS012,DSE 4520 MKII,10891885
P03636,8929,29/08/2025,9/13/2025,9/16/2025,9/16/2025,18,18,4,25380004,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637691L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS022,DSE 4520 MKII,10952629
P03636,8929,29/08/2025,9/13/2025,9/16/2025,9/16/2025,18,18,4,25380005,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637675L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS023,DSE 4520 MKII,10952642
P03636,8929,29/08/2025,9/13/2025,9/16/2025,9/16/2025,18,18,4,25380006,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637718L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS011,DSE 4520 MKII,10952641
P03636,8929,29/08/2025,9/13/2025,9/16/2025,9/16/2025,18,18,4,25380007,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U632795L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS031,DSE 4520 MKII,10952643
P03636,8929,29/08/2025,9/13/2025,9/16/2025,9/16/2025,18,18,4,25380008,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U632796L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS033,DSE 4520 MKII,10952632
P03636,8929,29/08/2025,9/13/2025,9/16/2025,9/16/2025,18,18,4,25380009,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK83398S086876L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS054,DSE 4520 MKII,10617868
P03722,9056,08/09/2025,09/10/2025,9/17/2025,9/19/2025,9,11,8,25380010,20,60,220/380,(24 / 27) kVA,KUBOTA,V2203-E2-BG,7SF2486,LEROY SOMER,TAL040F,46149200113,DSE 4520 MKII,10892014
P03636,8929,29/08/2025,9/16/2025,9/16/2025,9/16/2025,18,18,1,25380011,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U639271L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS156,DSE 4520 MKII,10952634
P03636,8929,29/08/2025,9/16/2025,9/16/2025,9/16/2025,18,18,1,25380012,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U639229L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS158,DSE 4520 MKII,10952633
P03636,8929,29/08/2025,9/16/2025,9/16/2025,9/16/2025,18,18,1,25380013,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U639232L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS157,DSE 4520 MKII,10952624
P03636,8929,29/08/2025,9/16/2025,9/16/2025,9/16/2025,18,18,1,25380014,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U639246L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS154,DSE 4520 MKII,10952644
P03636,8929,29/08/2025,9/16/2025,9/16/2025,9/16/2025,18,18,1,25380015,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U639254L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS155,DSE 4520 MKII,10952621
P03636,8929,29/08/2025,9/16/2025,9/16/2025,9/16/2025,18,18,1,25380016,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U639252L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS159,DSE 4520 MKII,10952631
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380017,80-100,60,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277R061060L,AQT,A06I639409,0213228/102,DSE 4520 MKII,10952662
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380018,80-100,60,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277R061064L,AQT,A06I639409,0213225/102,DSE 4520 MKII,10952651
P03683,09202 R1,03/09/2025,09/08/2025,9/17/2025,9/19/2025,14,16,10,25380019,135-150,60,127/220,(114 / 125) kVA,CUMMINS,6BTA5.9-G2,93486029,BRUSHLESS AC SYNCHRO. ALTERNATOR,TWG II 274B,2507438121,DSE 4520 MKII,10891910
P03766,8998,10/09/2025,9/16/2025,9/19/2025,9/19/2025,9,9,4,25380020,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U636297L,LEROY SOMER,TAL042H,39234800044,DSE 4520 MKII,10719373
P03730,09370 R1,08/09/2025,9/16/2025,9/19/2025,9/19/2025,11,11,4,25380021,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U638128L,LEROY SOMER,TAL042H,39234800045,DSE 4520 MKII,10577884
P03731,9378,08/09/2025,9/16/2025,9/19/2025,9/19/2025,11,11,4,25380022,45-60,60,220/380,(35 / 38.2) kVA,PERKINS,1103A-33TG1,DJ32003U632917L,AQT,A06I632510,02120553/038,DSE 4520 MKII,10568306
P03617,8648,27/08/2025,09/12/2025,9/17/2025,9/18/2025,21,22,6,25380023,250 SS,50,230/400,(251 / 283) kVA,CUMMINS,6LTAA8.9G2,93478015,LEROY SOMER,TAL046D,774077004,DSE 8610 MKII,10802997
P03617,8648,27/08/2025,09/12/2025,9/17/2025,9/18/2025,21,22,6,25380024,250 SS,50,230/400,(251 / 283) kVA,CUMMINS,6LTAA8.9G2,93473539,LEROY SOMER,TAL046D,774077003,DSE 8610 MKII,10802992
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380025,80-100,60,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277U760235L,AQT,A06I639409,0213230/101,DSE 4520 MKII,10952660
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380026,80-100,60,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277U760223L,AQT,A06I639409,0213226/101,DSE 4520 MKII,10952623
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380027,80-100,60,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277U760264L,AQT,A06I639409,0213227/102,DSE 4520 MKII,10952639
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380028,80-100,60,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277U760208L,AQT,A06I639409,0213224/101,DSE 4520 MKII,10952664
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380029,80-100,60,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277U760246L,AQT,A06I639409,0213229/101,DSE 4520 MKII,10075077
