order_date,receiving_ckd_date,finishing_date,shipping_date,lead_time_to_finish,lead_time_to_ship,lead_time_from_ckd,canopy_size,freq_50_60,voltage,genset_size,engine_type,engine_model,alternator_type,alternator_model,controller_model,target_lead_time_to_finish_days
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,AQT,A06I639409,DSE 4520 MKII,65.0
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,AQT,A06I639409,DSE 4520 MKII,65.0
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,AQT,A06I639409,DSE 4520 MKII,65.0
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,AQT,A06I639409,DSE 4520 MKII,65.0
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,AQT,A06I639409,DSE 4520 MKII,65.0
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,AQT,A06I639409,DSE 4520 MKII,65.0
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(90 / 100) kVA,PERKINS,1104A-44TG2,AQT,A06I639409,DSE 4520 MKII,65.0
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(114 / 125) kVA,PERKINS,1104C-44TG2,AQT,A09C167921,DSE 4520 MKII,65.0
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(114 / 125) kVA,PERKINS,1104C-44TG2,AQT,A09C167921,DSE 4520 MKII,65.0
2025-07-15,2025-09-13,2025-09-18,2025-09-18,65.0,65.0,6.0,80-100,60.0,220/380,(114 / 125) kVA,PERKINS,1104C-44TG2,AQT,A09C167921,DSE 4520 MKII,65.0
