,order_date,receiving_ckd_date,finishing_date,shipping_date,lead_time_to_finish,lead_time_to_ship,lead_time_from_ckd,canopy_size,freq_50_60,voltage,genset_size,engine_type,engine_model,alternator_type,alternator_model,controller_model,target_lead_time_to_finish_days
order_date,1.0,0.8609309215955268,0.881935984126936,0.8665758033441484,-0.5293740275541213,-0.49503139589521533,-0.05474610217658235,-0.009376940684870166,-0.043603166496003196,0.12068610121959683,-0.30381762221501596,0.0008100944678243802,-0.021851530267128425,0.12795722563846257,0.2788514858253736,-0.0769865144237094,-0.5293740275541213
receiving_ckd_date,0.8609309215955268,1.0,0.9035526148022748,0.8863983719354179,-0.25997582092765925,-0.2302553949775988,-0.08106635928999514,0.10498052029005317,-0.08825901170985365,0.17746762301187488,-0.21435484163500507,-0.090232581578414,0.013729116551730923,0.1785049113083388,0.2631028631057511,-0.05368261501083198,-0.25997582092765925
finishing_date,0.881935984126936,0.9035526148022748,1.0,0.9816002339599718,-0.15800130011014601,-0.1318547220393277,0.03687055339448988,0.03471423105138,-0.05517201983422496,0.1260390133306806,-0.22012313231524655,-0.10139377642126378,0.0090689562869142,0.15282281128650868,0.30294216977945637,-0.04261996831923923,-0.15800130011014601
shipping_date,0.8665758033441484,0.8863983719354179,0.9816002339599718,1.0,-0.15854662775136313,-0.1057708546342817,0.03227481557553231,0.0034968907103301904,-0.07376508255549308,0.12567013455364895,-0.20168602558522322,-0.09209254231293933,-0.0063420103572090734,0.1666058705749063,0.3198508802672609,-0.042152624381761296,-0.15854662775136313
lead_time_to_finish,-0.5293740275541213,-0.25997582092765925,-0.15800130011014601,-0.15854662775136313,1.0,0.9762667612526655,0.3442196989013962,0.1533157883610735,0.06465268470899263,-0.10129914145199566,0.22484430169280262,0.008990363293461779,-0.1158479042154162,-0.1848082026482271,-0.14193163679867804,-0.011794149453641382,1.0
lead_time_to_ship,-0.49503139589521533,-0.2302553949775988,-0.1318547220393277,-0.1057708546342817,0.9762667612526655,1.0,0.358168153991811,0.14174212909019224,-0.023012916588444957,-0.05501156615386975,0.24803548994594338,0.02157391058787708,-0.14790019912973257,-0.1826353473297503,-0.12853925471096309,-0.023144397209835802,0.9762667612526655
lead_time_from_ckd,-0.05474610217658235,-0.08106635928999514,0.03687055339448988,0.03227481557553231,0.3442196989013962,0.358168153991811,1.0,-0.2595336317592279,-0.06536266310389596,-0.0777299999513661,0.11692516070613314,-0.08031725021970039,-0.2157095581542098,-0.07381999120938526,0.19646284468980166,0.028676056367198645,0.34421969890139625
canopy_size,-0.009376940684870166,0.10498052029005317,0.03471423105138,0.0034968907103301904,0.1533157883610735,0.14174212909019224,-0.2595336317592279,1.0,0.15226622258785108,-0.022898308073051328,0.27621238245971547,0.2132077450236697,0.01289459985659223,0.12862330174973627,-0.1284947098587886,-0.22034508358438712,0.15331578836107354
freq_50_60,-0.043603166496003196,-0.08825901170985365,-0.05517201983422496,-0.07376508255549308,0.06465268470899263,-0.023012916588444957,-0.06536266310389596,0.15226622258785108,1.0,-0.7013387451712652,-0.02433811556041049,0.20122397282335625,-0.12808543283785923,-0.16359849071972818,-0.15557879232876953,-0.3325121791909087,0.06465268470899269
voltage,0.12068610121959683,0.17746762301187488,0.1260390133306806,0.12567013455364895,-0.10129914145199566,-0.05501156615386975,-0.0777299999513661,-0.022898308073051328,-0.7013387451712652,1.0,-0.030331280640024615,-0.15171207814597537,0.209711077746738,0.15428885796529102,-0.009806119220961973,0.21851107634193428,-0.10129914145199566
